Cancer_Type_Detailed	Manually_corrected_Cancer_Type_Detailed	value	Why
Hodgkin Lymphoma-like PTLD	Hodgkin Lymphoma-like PTLD	1	cannot find a match so skip not in 41 genes
Nested stromal epithelial tumor of the liver	Nested stromal epithelial tumor of the liver	1	cannot find a match so skip not in 41 genes
Nephroblastomatosis	Nephroblastomatosis	1	cannot find a match so skip not in 41 genes
Glioblastoma multiforme	Glioblastoma Multiforme	1	Capitalized 1st alphabets
Plexiform Schwannoma	Plexiform Schwannoma	1	cannot find a match so skip not in 41 genes
Mucinous Adenocarcinoma Lymph Node	Mucinous Adenocarcinoma Lymph Node	1	cannot find a match so skip not in 41 genes
"Non-Seminomatous Germ Cell Tumor, predominantly yolk sac type"	"Non-Seminomatous Germ Cell Tumor, predominantly yolk sac type"	1	cannot find a match so skip not in 41 genes
Congenital Fibrosarcoma	Congenital Fibrosarcoma	1	cannot find a match so skip not in 41 genes
Medullary Breast Carcinoma	Invasive Breast Carcinoma	1	Location is ultimately Breast
Low-Grade Glioma (NOS)	Low-Grade Glioma	1	string in OT to match
Pilomyxoid astrocytoma	Pilomyxoid Astrocytoma	1	Capitalized 1st alphabets
